Level,Num Records,Num Groups,Min rows per group,Accuracy,Time of run
1 1,10000,13,20,0.974576271,0.320685017
1 2,10000,15,20,0.971428571,0.3527535
1 3,10000,18,20,0.98757764,0.391555735
1 4,10000,20,20,0.950549451,0.408240016
1 1,50000,27,20,0.915384615,3.383560185
1 2,50000,61,20,0.87012987,6.524273169
1 3,50000,111,20,0.899343545,9.931251367
1 4,50000,129,20,0.897601476,10.60603997
1 1,1.00E+05,33,20,0.842105263,9.347851336
1 1,1.00E+05,32,40,0.840125392,10.70897918
1 2,1.00E+05,88,40,0.872706422,25.38066837
1 3,1.00E+05,176,40,0.876790831,52.50392062
1 4,1.00E+05,221,40,0.892286627,94.20690148
