"","MPN","MPN.Length","NumCount","HyphenCount","CharCount","NumCharRatio"
"1","",0,0,0,0,0
"2","44057/100",9,8,0,1,4
"3","MPC3300",7,4,0,3,1
"4","MP3351SP",8,4,0,4,0.8
"5","-",1,0,1,0,0
"6","134",3,3,0,0,3
"7","2063",4,4,0,0,4
"8","GROM Acustica e Vibração",24,0,0,24,0
"9","116092",6,6,0,0,6
"10","17217",5,5,0,0,5
"11","22921",5,5,0,0,5
"12","17766",5,5,0,0,5
"13","18962",5,5,0,0,5
"14","7456",4,4,0,0,4
"15","14371",5,5,0,0,5
"16","115616",6,6,0,0,6
"17","2181",4,4,0,0,4
"18","115620",6,6,0,0,6
"19","36561",5,5,0,0,5
"20","1003",4,4,0,0,4
"21","3525",4,4,0,0,4
"22"," 134-35 SES SERV 7 Nº 130",25,9,1,15,0.5625
"23","134-35 SES SERV 7 Nº 110",24,9,1,14,0.6
"24","134-35 SES SERV 7 Nº 120",24,9,1,14,0.6
"25","DP 17 130",9,5,0,4,1
"26","B27 NM 120/19 RG",16,7,0,9,0.7
"27","GB75",4,2,0,2,0.666666666666667
"28","DP 17 110",9,5,0,4,1
"29","X0P2-AER",8,2,1,5,0.333333333333333
"30","C99859",6,5,0,1,2.5
"31","ODWC-48556",10,5,1,4,1
"32","202808",6,6,0,0,6
"33","4257",4,4,0,0,4
"34","DTE 26",6,2,0,4,0.4
"35","DTE 24",6,2,0,4,0.4
"36","Longterm 2 Plus",15,1,0,14,0.0666666666666667
"37","596500005",9,9,0,0,9
"38","811-067-010",11,9,2,0,9
"39","706219",6,6,0,0,6
"40","FBV 16",6,2,0,4,0.4
"41","VS-08-RJ45-5-Q/IP20 TIA568A - 1417016",37,17,5,15,1.0625
"42","268.4",5,4,0,1,2
"43","762",3,3,0,0,3
"44","VoltAlert 1AC II",16,1,0,15,0.0625
"45","R17 DRS71M4",11,5,0,6,0.714285714285714
"46","BOS 18 M-PA-PD-E5-C-S-4",23,4,6,13,0.285714285714286
"47","SOAM18D50PACS",13,4,0,9,0.4
"48","R77 DRE132S4",12,6,0,6,0.857142857142857
"49","R57 DRE100M4",12,6,0,6,0.857142857142857
"50","518",3,3,0,0,3
"51","EPAD 12282",10,5,0,5,0.833333333333333
"52","21261011",8,8,0,0,8
"53","9225201770",10,10,0,0,10
"54","21406509",8,8,0,0,8
"55","9203002414",10,10,0,0,10
"56","SD0700332SP",11,7,0,4,1.4
"57","1004",4,4,0,0,4
"58","902000423",9,9,0,0,9
"59","21340906",8,8,0,0,8
"60","MJ-2115BK",9,4,1,4,0.8
"61","MJ-2215BK",9,4,1,4,0.8
"62","NHGC12",6,2,0,4,0.4
"63","TEGC12",6,2,0,4,0.4
"64","PJ-110ABK",9,3,1,5,0.5
"65","B3128520000",11,10,0,1,5
"66","TJ910500210000",14,12,0,2,4
"67","128 GAS N° 160/23",17,8,0,9,0.8
"68","B3128051000",11,10,0,1,5
"69","MA10A0120",9,6,0,3,1.5
"70","90828000",8,8,0,0,8
"71","350500026",9,9,0,0,9
"72","592443",6,6,0,0,6
"73","592460",6,6,0,0,6
"74","592423",6,6,0,0,6
"75","592459",6,6,0,0,6
"76","592445",6,6,0,0,6
"77","592441",6,6,0,0,6
"78","110-05",6,5,1,0,5
"79","110-02",6,5,1,0,5
"80","Ref: 3005",9,4,0,5,0.666666666666667
"81","560",3,3,0,0,3
"82","704807",6,6,0,0,6
"83","ECCOFER-3540490300",18,10,1,7,1.25
"84","41050/108",9,8,0,1,4
"85","44140/000",9,8,0,1,4
"86","ECCOFER-3540001000",18,10,1,7,1.25
"87","C2810",5,4,0,1,2
"88","PL08-G02",8,4,1,3,1
"89","CV2-32044I",10,6,1,3,1.5
"90","n/a",3,0,0,3,0
"91","13-110",6,5,1,0,5
"92","CV2-32038I",10,6,1,3,1.5
"93","10000500380",11,11,0,0,11
"94","60006900060",11,11,0,0,11
"95","60006900010",11,11,0,0,11
"96","58009600719",11,11,0,0,11
"97","59002800944",11,11,0,0,11
"98","61004701133",11,11,0,0,11
"99","62000700020",11,11,0,0,11
"100","10000200402",11,11,0,0,11
"101","58009601123",11,11,0,0,11
"102","coforme o desenho",17,0,0,17,0
