Product Sku,Product Name,Unit Of Measure,Mfg Name,Product Mpn,Supplier Name,Avg. Price,Ytd-2015-Spend,countLocations,KEY
01006-95686,S874934;GRANIT2D INDUSTIRAL ER FOCUS,EA-EACH,HONEYWELL,1911IER-3USB-5,WORKPLACE SOLUTIONS LLC,$812.00 ,"$2,436.00 ",1,1911IER-3USB-5|812|1
07004-26054,XO RUST GLOSS BLACK SPRAY PAINT,EA-EACH,TRUE VALUE,X0P2-AER,WERNER LUMBER CO,$4.00 ,$8.00 ,1,X0P2-AER|4|1
07007-12690,"C99859 ; 3"" X 60YD HIGH TEMP MASKING TAPE PER P703",RL-ROLL,,C99859,Hagemeyer NA,$14.00 ,"$50,130.00 ",1,C99859|14|1
12002-60453,"81198 ;#10-24 X 3/8"" BLACK OXIDE FINISH FLAT SOCKET CAP SCREW - HOLO-KROME",PK-PACK / PACKAGE / PACKAGE ROLL,HOLO-KROME,81198,FASTENAL-COLUMBIA CITY,$0.00 ,$12.00 ,1,81198|0|1
16008-69128,13 PT SMALL BREAK AWAY KNIFE (W/3 BLADES),EA-EACH,TRUE VALUE,704807,WERNER LUMBER CO,$3.00 ,$15.00 ,1,704807|3|1
17005-14437,SERVICIO DE 8 OPERARIOS DE LIMPIEZA PARA PLANTA PUEBLA DE SEP DEL 2015 A AGO DEL 2016,EA-EACH,N/A,N/A,ARAMARK SERVICIOS INDUSTRIAALES DE MEXICO S DE RL DE CV,"$43,654.00 ","$30,865.00 ",1,N/A|43654|1
17005-80144,SERVICIO DE UN SUPERVISOR DE LIMPIEZA PARA PLANTA PANZACOLA DE SEP DEL 2015 A AGO DEL 2016,EA-EACH,N/A,N/A,ARAMARK SERVICIOS INDUSTRIAALES DE MEXICO S DE RL DE CV,"$6,821.00 ","$4,823.00 ",1,N/A|6821|1
17005-98527,4A119;MAZO DE GOMA 8 OZ ,EA-EACH,NUPLA,13-110,GRAINGER SA DE CV,$10.00 ,$73.00 ,2,13-110|10|2
20001-13387,SERVICIO DE ENTREGA A PERSONAL,EA-EACH,#N/A,servicio entrega,ARAMARK SERVICIOS INDUSTRIAALES DE MEXICO S DE RL DE CV,"$1,127.00 ",$671.00 ,1,servicio entrega|1127|1
20002-59270,SERVICIO LIMPIEZA CONTINUA EN HORARIOS NORMALES CON 11 OPERADORES Y UN SUPERVISOR. SE INCLUYE MATERIAL DE JARCERIA,EA-EACH,N/A,SERVICIO,ARAMARK SERVICIOS INDUSTRIAALES DE MEXICO S DE RL DE CV,"$68,705.00 ","$12,273.00 ",1,SERVICIO|68705|1
20003-46249,Ultra Clorox Germicidal Bleach  Regular Scent  96 Oz.-BNZ02490-292358,EA-EACH,THE CLOROX CO.,BNZ02490,E&R INDUSTRIAL SALES-STERLING HEIGHTS,$2.00 ,$24.00 ,1,BNZ02490|2|1
20003-95777,COSTO CONSUMIBLE CORRESPONDIENTE A LOS MESES DE SEPTIEMBRE Y OCTUBRE 2015  ORDE ABIERTA,LT-LOT,ARAMARK,N/A,ARAMARK SERVICIOS INDUSTRIAALES DE MEXICO S DE RL DE CV,"$15,180.00 ","$1,717.00 ",1,N/A|15180|1
20009-45216,SERVICIO INTEGRAL DE LIMPIEZA: 1 Supervisor,MO-MONTH,#N/A,N/A,ARAMARK SERVICIOS INDUSTRIAALES DE MEXICO S DE RL DE CV,"$9,921.00 ","$4,424.00 ",1,N/A|9921|1
20009-48362,SERVICIO INTEGRAL DE LIMPIEZA: 1 Jardinero,MO-MONTH,#N/A,N/A,ARAMARK SERVICIOS INDUSTRIAALES DE MEXICO S DE RL DE CV,"$8,681.00 ","$3,871.00 ",1,N/A|8681|1
20009-59867,SERVICIO INTEGRAL DE LIMPIEZA: 6 Operadores de Limpieza,MO-MONTH,#N/A,N/A,ARAMARK SERVICIOS INDUSTRIAALES DE MEXICO S DE RL DE CV,"$34,749.00 ","$15,494.00 ",1,N/A|34749|1
20009-68810,CONSUMIBLES: 355 Head Count. Consumibles por head count incluye los siguientes productos y se suministraran en cantidades suficientes en tiempos normales de la planta: ? Papel Higiénico ? Papel Toalla ? Jabón para manos ? Bolsas chicas para la basura (úni,MO-MONTH,#N/A,N/A,ARAMARK SERVICIOS INDUSTRIAALES DE MEXICO S DE RL DE CV,"$12,070.00 ","$5,382.00 ",1,N/A|12070|1
25003-65325,"0223466;DESARMADOR PUNTA PLANA 3/8""X8""",EA-EACH,APEX TOOL GROUP LLC,223466,FASTENAL MEXICO S DE RL DE CV,$6.00 ,$27.00 ,1,223466|6|1
25003-93885,120V OUTSIDE FLOODLIGHT TEFLON COATED 150 PAR38FL,EA-EACH,TRUE VALUE,48037,WERNER LUMBER CO,$13.00 ,$398.00 ,1,48037|13|1
26003-65561,FACAMOVEL,EA-EACH,DURKOPP767REFILAR,477330240,DAP AMERICA INC.,$27.00 ,$824.00 ,1,477330240|27|1
27006-75687,CHAPERONE MONEY PENS,EA-EACH,CHAPERONE,PM1,THE RETAIL FACTORY LTD,$1.00 ,,1,PM1|1|1
27006-18062,577942;577942; CANON POWERSHOT A4000 IS 16.0-MEGAPIXEL DIGITAL CAMERA   RED,EA-EACH,OFFICE DEPOT,1010,WORKPLACE SOLUTIONS LLC,$171.00 ,$171.00 ,1,1010|171|1
27006-39860,221784  Office Depot Brand Paper Clips  Jumbo  Silver  100 Clips Per Box  Pack Of 5 Boxes,PK-PACK,OFFICE DEPOT,10009,WORKPLACE SOLUTIONS LLC,$4.00 ,$6.00 ,1,10009|4|1
27006-46267,Office Depot Brand Paper Clips  No. 1 Regular  Silver  100 Clips Per Box  Pack Of 10 Boxes-OD10001-308478,PK-PACK,OFFICE DEPOT,OD10001,WORKPLACE SOLUTIONS LLC,$5.00 ,$5.00 ,1,OD10001|5|1
27006-46274,Office Depot Brand Binder Clips  3/4in  Black  Pack Of 144 (12 Boxes Of 12 Clips)-ODRTP001936HD08707-825182,PK-PACK,OFFICE DEPOT,ODRTP001936HD08707,WORKPLACE SOLUTIONS LLC,$9.00 ,$8.00 ,1,ODRTP001936HD08707|9|1
27006-46340,Office Depot Brand Paper Clips  Jumbo  Silver  100 Clips Per Box  Pack Of 10 Boxes-OD10004-308239,PK-PACK,OFFICE DEPOT,OD10004,WORKPLACE SOLUTIONS LLC,$9.00 ,$9.00 ,1,OD10004|9|1
27006-46341,Office Depot Brand Paper Clips  No. 1 Regular  Silver  Nonskid Finish  100 Clips Per Box  Pack Of 10 Boxes-OD10002-308353,PK-PACK,OFFICE DEPOT,293262,WORKPLACE SOLUTIONS LLC,$5.00 ,$2.00 ,1,293262|5|1
27006-46345,Office Depot Brand Binder Clips  1 1/4in  Black  Box Of 12-OD825190BX-429431,BX-BOX,OFFICE DEPOT,429431,WORKPLACE SOLUTIONS LLC,$2.00 ,$3.00 ,1,429431|2|1
27006-63992,"379595;379595; ASTROBRIGHTS FSC CERTIFIED 30% RECYCLED BRIGHT COLOR PAPER  8 1/2"" X 11  24 LB  CELESTIAL BLUE  REAM OF 500 SHEETS",RE-REAM,WAUSAU PAPER,1045,WORKPLACE SOLUTIONS LLC,$12.00 ,$12.00 ,1,1045|12|1
27006-85471,429266  Office Depot Brand Paper Clips  No. 1 Regular  Silver  Box Of 100 Clips,BX-BOX,OFFICE DEPOT,10001BX,WORKPLACE SOLUTIONS LLC,$1.00 ,$2.00 ,1,10001BX|1|1
27006-96500,207951  FOLDER LTR 1/3CUT 100BX GREEN,BX-BOX,SMEAD,53LGN,WORKPLACE SOLUTIONS LLC,$14.00 ,$15.00 ,1,53LGN|14|1
30003-76545,XO RUST FLAT BLACK SPRAY PAINT,EA-EACH,TRUE VALUE,XOP19-AER,WERNER LUMBER CO,$4.00 ,$4.00 ,1,XOP19-AER|4|1
30005-24964,GREEN THOUMB PISTOL GRIP WATER HOSE NOZZLE,EA-EACH,TRUE VALUE,20491 GT,WERNER LUMBER CO,$8.00 ,$16.00 ,1,20491 GT|8|1
35020-47722,BANNER PERMANENT MARKER BLACK BOX 10,EA-EACH,,9270001,LOWES HALL LTD,$3.00 ,$423.00 ,1,9270001|3|1
35008-86663,UNIVERSAL USE  38 GALLON PACKAGE CAPACITY SORBENT ROLL,RL-ROLL,,MRO350-DP,MSC INDUSTRIAL SUPPLY CO.,$85.00 ,"$1,251.00 ",1,MRO350-DP|85|1
